question,answer,image_id
what is on the window,window_cover,image940
what are found on the board,"papers, file",image1225
what is on the left side of the microwave,door,image752
what is in front of the chair beneath the table,garbage_bin,image864
what is on the right side of the lamp on the right night stand,tissue_box,image924
what is on the table,tissue_roll,image345
what is to the right of the cabinet,bed,image994
what are the objects on the table,"toy, lamp, book",image1128
what is kept on the floor,garbage_bin,image703
what is below the shelf,stool,image98
how many beds are there,2,image931
what is to the left of the table,stairs,image347
what is the object close to the wall above the counter,mirror,image682
what is the object close to the counter,sink,image677
what is in front of the basket ball,books,image474
what is on the either side of the bed,night_stand,image996
what is available on the right side of the bed,night_stand,image1048
what are found to the right side of the chair,"window, curtain, wardrobe, door",image911
how many drawer handles are there,9,image845
what is the colour of the sofa,brown,image486
what are the things in front of the wall,"television, dvd_player, stand, drawer",image192
how many chairs are,2,image236
what object is on the sofa,pillow,image1249
how many pictures are there on the wall,5,image921
how many people are there,2,image395
what is in front of the fireplace,table,image1312
what is attached to the storage rack,knob,image1038
what is the object close to the wall right of the door,refridgerator,image884
what is the object close to the counter,sink,image720
what is to the left of the fireplace,lamp,image1224
what is on the right side of the book,"globe, globe_stand",image481
what are on the both sides of the photo,window,image1391
what is the chair colour,brown,image754
what is the object close to the floor,floor_mat,image1182
what is in the cupboard,clothes,image1103
how many chairs are there,3,image467
how many books are on the top of the toilet tank of cistern,3,image689
what is the object in the spice rack close to the wall,spice_bottle,image132
what is on the left side of the sink,shaver,image720
how many computers are on the table,2,image309
what is found below the book rack,oven,image817
what is on the floor,"suitcase, flower_pot",image1093
what is the object close to the wall,clothes,image957
what is on the right side of the tissue box,bottle_of_liquid,image671
what object is found on the right side of the paper rack,glass_container,image904
how many chairs are there,15,image1392
what color is the stool below the table,"white, brown",image607
how many sinks are there,2,image661
what is in the third rack of the shelf,toy,image362
what is the object close to the counter,sink,image575
how many gray computer chairs are in front of blue chairs,1,image290
what is the object close to the refrigerator handle,towel,image872
what is the largest object,refridgerator,image563
what is around the table,chair,image415
what is the wall colour,green,image1065
what is on the left side of the chair,stroller,image398
what are found to the left side of the window,"mirror, table, chair",image1111
how many chairs are there,2,image432
what is on the door,bag,image1010
what is at the bottom of the photo,table,image1175
what is the colour of the door,white,image768
how many tables are in front of the bookshelf close to the ladder,1,image84
what is the colour of wall,white,image719
what is on the right side of the shelf,chair,image1019
what is at the left corner in between the papers on the table,id_card,image638
what is in front of shelf,bed,image542
what is in the corner of the room,bookshelf,image1424
how many cupboard handle are there,18,image790
what is the object on the stool,television,image1138
what is on the night stand,"lamp, clothes",image1033
what is on the microwave,kitchen_utensil,image871
what are the objects kept on the rack,books,image87
what is the object close to the ceiling above the table,projector,image19
what is at the right side,piano,image1330
what is near the cups,tissue_box,image432
how many table mats are there,2,image758
what is the colour of sofa,gray,image279
what is the colour of the wall,"red, yellow",image860
how many knobs are visible,7,image1351
how many stools are available,2,image105
what is on the left side of the sofa,blinds,image422
what is there in the left side,door,image1027
what is in front of the closed door,garbage_bin,image8
what are the objects found on the table,"clothes, papers, cup, salt_and_pepper",image888
what is seen in the inner room,cabinet,image1366
what is the colour of the pen stand,pink,image361
what is hanged on the wall behind the sofa,decoration_item,image1248
what object is found to the right side of the telephone,tissue_roll,image856
how many wooden chairs are there,6,image842
what is the largest object,sofa,image1202
what is on the table,bag,image308
what is on the left side of the table,curtain,image497
what is stuck on the wall,light_switch,image1378
what is above the opened doors,television,image1260
what is object on the ground close to the counter,trolley,image109
what is on the left most side on the table,printer,image394
what is above the microwave,clock,image572
what is above the cupboards,television,image429
what are stuck on the wall,photo,image1345
how many chairs are there,1,image988
what are the things found below the storage rack,"tissue_roll, bottle",image908
what is to the right of the sofa,table,image1290
what is colour of the cutting board in the middle,green,image134
what is the colour of the shirt the guy wearing,pink,image636
how many doors of the cupboard are open,2,image1260
what is the object close to the tissue rod,tissue,image732
what is placed on the shelves,glass_ware,image235
how many gloves are stuck to the refridgerator,3,image866
what is on the other side of the table,night_stand,image1052
what is in front of the laptop,bottle_of_perfume,image57
what color is the table,black,image1273
what is the large black object on the right side of the knife rack,"knife_rack, knife",image855
what is behind the sofa,bookshelf,image1253
what is found in between the doors,television,image912
what is in front of the basket ball,papers,image476
what is on the pink drawer table,clothes,image530
how many monitors are there,2,image603
what is left of window,door,image523
what are stuck on the wall,"photo, mirror",image1233
what is on the left most side on the drawer table,"basket, clothes",image543
what is the round object on the blue box that is on the floor close to the wall,ball,image966
what is to the right of the bed,table,image1092
what is on the left side of the the bath tub,toilet,image652
what are the colours of the clothes in the left side,"white, blue",image92
what is stuck above the cabinet,mirror,image1383
how many handles are there,12,image1262
what is on the right side of the toy doll,bottle,image633
what is found behind the bed,plant,image1092
what is beneath the flower vase,table,image1388
what object is on both side of the saffron colour sofa,stool,image1299
what is hung on the wall above the telephone,clock,image8
what is in front of the window,bottle_of_liquid,image714
what is in front of table,window,image596
what is on the table in the table,computer,image608
what is on the wall,"picture, framed_certificate",image949
how many switchboards are there,2,image1351
how many beds are there,2,image1127
what is on the right side of the sink,bottle_of_hand_wash_liquid,image567
what is on the right side of the table,bookshelf,image979
what is the blue colour object on the night stand,tissue_box,image949
what is the handle colour of the refridgerator,black,image769
what is behind the table,mantel,image1380
what is on the wall,light,image1027
what is the object above the shelves close to the wall,blackboard,image123
what is the largest object,wardrobe,image72
what is on the table,stove,image806
what is below the painting,table,image52
what is the object on the floor right of the table,garbage_bin,image613
what is on the left most side on the table,cordless_telephone,image600
what is the object close to the wall,whiteboard,image28
what is in front of the sofa,table,image1429
what is the object in front of the sofa and behind the window,plant,image14
how many windows are there,2,image1390
what is on the left side table,printer,image528
what is the colour of the table,white,image1416
how many doors does the night stand have,3,image56
what is in between the chair and sofa,stool,image1298
what is on the right side of the ornamental plant,blinds,image900
what is in front of the sofa,baby_chair,image1335
what is placed on the shelf,books,image262
what is near the door frame,toys_shelf,image1326
what is the left bottom,chair,image1291
what is on the left side of the table,chair,image889
what objects are found in front of the window,"vase, tray, bottle_of_hand_wash_liquid, bottle",image830
how many books are in the fourth rack,9,image367
what is on the left side of the tissue box,decorative_item,image1274
what is colour of the screen,green,image41
what is found to the right side of the wall,cabinet,image1106
what is on the sofa,sheets,image607
what is the colour of the chair,black,image476
what is present on top of the storage rack below the window,bed,image1038
what is to the left of the table,toys_rack,image1066
what is in between doors,towel,image739
what is on the table,"paper, tissue_box",image391
how many chairs are in fornt of the whiteboard,1,image33
what is behind the kitchen,garbage_bin,image53
how many drawers are visible,3,image700
what is below the photo frame,wall_stand,image155
what is on the stand,"plate, paper",image616
what is on the right side of the bed,lamp,image1107
what is stuck on the wall,mirror,image1086
how many chairs are there,8,image1400
what is on the floor,toy,image446
what is to the left of the teacher,laptop,image314
what is right of table,shelves,image291
what is on the left side of the table,stool,image986
what is on the right side of the blue water carboy and on the left side of the black cables,telephone_cord,image21
what is found to the opposite side of the towel rod,bathtub,image690
what is on the right side of the desk on the floor,garbage_bin,image294
what is on the right side of the papers,monitor,image637
what is in front of woman,laptop,image256
what is present on the right side,bed,image1046
what is the colour of the tea pot,white,image755
what is in the stand on the left side of the bathtub,towel,image669
what are found on the table,"music_stereo, remote_control, wire",image1218
what is near the tape dispenser,fax_machine,image450
what are found far behind the door,bed,image1315
what are found on the cabinet,"lamp, alarm_clock, telephone",image1076
what is in the corner of the room,lamp,image1302
what is the object on the table right of the tissue box,flower_pot,image879
what are stuck on the wall,photo,image1413
what is the object on the table,bottle,image812
what is behind the chair,shelves,image555
how many chairs are visible,4,image1386
what is on the wall,picture,image1096
what is in the corner of the inner room,stroller,image1407
what are the objects found on the cabinet,"box, lamp",image1118
what is on the right side of the books,cup,image607
what object is stuck on the wall,clothes,image894
what is the colour of microwave,white,image214
what is found below the chandelier,table,image1397
what is on the chair,clothes,image391
what is on the right side of the brown chair,table,image1424
what is on the wall,picture,image452
what are the things found on the cabinet,"lamp, papers",image1076
what is in front of the table,bag,image1066
what is in front of the sofa,table,image1284
what is in front of the curtain,excercise_equipment,image1218
what is on the bed,"pillow, rug",image64
what is the largest object,table,image1409
what is the object on the floor right of the cabinet,bed,image1043
what is the frame colour of the door,white,image681
what is on the left side of the table,fan,image606
what is in the bottom left corner,sofa,image1258
how many flags are visible,1,image1326
what is on the right side of the tap,bottle_of_hand_wash_liquid,image665
what object is found in front of the tea kettle,bottle,image835
what is the object above the stove close to the wall,microwave,image145
what is found in front of the burner,step_stool,image884
what is placed on top of the second rack of second partition of shelf,television,image1005
what is kept on top of the side table,tissue_box,image56
what is to the left of the chair,garbage_bin,image473
what is to the right of the table,display_case,image1370
what is placed on table,paper,image523
what is hung on the left most side of the rack,jacket,image72
what is on the right side of the chair,blinds,image1320
what is on the brown board on the wall,paper,image318
what is at the end on the stove table,ornamental_plant,image791
what is in front of the chair,cabinet,image1053
what is on the paper,pen,image618
what is on the table,tablecloth,image148
what is the object close to the counter,stove,image826
what is on the drawer table in between the beds,"lamp, picture",image1041
what is beneath the stove table,dishwasher,image826
what are the things found on the rack,"lamp, container_of_skin_cream",image1186
what is on the table,coffee_machine,image495
how many blades in window,6,image742
what is the colour of screen,red,image740
what is the largest object,refridgerator,image807
what is the object on the counter in front of the microwave,plate,image857
what is the colour of the oven,white,image791
what is to the right of the tv stand,vacuum_cleaner,image169
how many drawers found,1,image679
how many tables are there,2,image632
what is colour of flowers,pink,image265
what is the object front,sofa,image1311
what is to the right of the screen,computer,image20
what are the objects on the cabinet top,"book, lamp, perfume, hand_sanitizer",image66
what is stuck on the wall,photo,image1191
what is in front of the wall,stove,image814
what is the object on the floor in front of the wall,bathtub,image509
what is on the black drawer table,toy_doll,image530
how many windows are there,3,image748
how many chairs are there,1,image1106
what is found on the right side of the table lamp,bed,image924
what is the object on the floor in front of the wall,cabinet,image592
what is the object on the counter right of the stove,hot_water_heater,image785
what is on the sofa,"pillow, bag",image1142
what is on the left side of the bag,"clothes, perfume",image1008
what object is stuck on the right storage rack,tissue_roll,image806
what is the object found on the left side,chair,image851
how many students are visible,3,image305
what is on the right side of the sink,"plastic_box, cooking_pot_cover",image891
what is in front of the pillow on the bed,soft_toy,image933
what is the object to the left of the cabinet,window,image987
what is the colour of the towel,pink,image705
what are the objects on the bed,clothes,image1153
what is on the wall,picture,image888
which objects are for playing ping pong in this picture,"ping_pong_racket, ping_pong_table",image641
what is on the black rack,dvds,image90
what is on the marble table,stove,image764
what is present on the right side bottom corner,"suitcase, trolley",image1044
what is the large black object on the left side of the bedroom in front of the radiator,dresser,image172
how many monitors are there,3,image7
what is on the left side of the table,laptop,image378
what are the objects on the shelf,books,image979
what are the objects on the table in front of the sofa,"plant, basket",image1244
what is behind the chair,door,image554
what is below the board,hooks,image313
what is the object on the post case,notecards,image100
what is the object below the counter,cabinet,image905
what is in front of the lamp,sofa,image1224
how many chairs are around the conference table in this picture,5,image271
what is object placed on left of the table,telephone,image3
what is in the middle of the piano,sheet_music,image1306
what are the objects found to the right of the pillow,"lamp, table",image921
what are behind the armchairs on the left and right sides of the television,lamp,image1232
what are the objects stuck on the wall,photo,image913
what is stuck on the top of the cabinet,photo,image1000
what is right of stove,glass_ware,image572
what is on the door,door_knob,image512
what is object that is on the counter close to the sink,faucet,image133
what is on the shelf,books,image582
what is on the chair,pillow,image1420
what is the colour of the chairs,white,image1401
what are the most colorful objects in this picture,"bed_sheets, map",image525
what is on the table in the,books,image355
what is below the screen,air_conditioner,image40
what objects are found below the storage rack,"bowl, plate, oven",image857
what is on the table,"bottle, alarm",image1142
what is to the left of ac,stove,image141
what is on the wall,picture,image451
how many drawers does the night stand have on right side of the bed,2,image79
how many drawers are there,5,image925
how many monitors are in this picture,3,image7
what is on the washing machine,clothing_detergent,image493
what is in front of refridgerator,person,image566
what is on the stand,bottle,image713
what is on the table,books,image441
what is on the second last shelf of the wooden rack,shoe,image763
what is the object close to the wall,faucet,image686
what is the colour of the paper stuck to the steel chair,white,image864
what is the largest object,cabinet,image49
what is on the wall above the sink,mirror,image499
what is on the bed,clothes,image1136
what is found to the top of the cabinet,window,image994
what color is the towel,pink,image690
what is on the left side of the candle holder,box,image1440
what is the object in front of the wall on top of the table left of the big printer,printer,image37
what is the object in front of the room divider left of the table,plant,image1270
what is in front of table,garbage_bin,image541
how many drawers are there,4,image1047
what is the big white object,mattress,image60
what are the objects on the shelves,books,image107
what is present in the desk,shelves,image1043
how many pillows are there,4,image1166
how many chairs are around the conference table,6,image19
how many chairs are there,6,image748
what is on the left side of the bed,ironing_board,image969
what is in front of the chair,cabinet,image1258
what is on the door,knob,image578
what is on the cardboard box,telephone,image3
what are the things on the table,books,image1281
what is stuck on the door of the wall,roll_of_toilet_paper,image684
what is the object found at the top of the electric cooker,towel,image897
what is hanging from the roof,lamp,image228
what is behind the sofa,table,image258
what is the colour of pipe,red,image244
what is in front of chair,bench,image1345
how many pillows are there in on the bed,2,image70
what are the objects on the table,books,image88
what is on the candle holders in the right side shelf,candle,image1395
what is behind the table,"bed, books",image373
what is above the cot,shelves,image71
what sign is visible on the computer,window,image333
what do the shelves hold,"books, file",image16
what is in between the chairs,table,image379
how many lamps are above the cash desk,2,image234
what is on the right side of the cream tube,tissue_box,image670
what are the white objects,"chair, lamp",image1426
what is on the left side of the door,book,image1002
what is the object in front of the gray sofa,table,image1211
what is the largest object,bed,image1139
what is the colour of the bed sheet,green,image988
what is the object on the floor in front of the wall,bed,image1032
how many faucet handles are there,1,image807
what is found to the right side of the door,television,image912
what is in between the chairs,lamp,image1328
what is the colour of the table mat,white,image757
what is in front of the table,chair,image4
what is the object below the counter,cabinet,image699
how many cupboard doors displayed,10,image777
what objects are inside the door,"toy, window, photo",image1306
how many pillows found,5,image1238
what is on the shelf,television,image437
how many posters are held by the poster board,6,image21
what is in front of the mirror,toilet,image675
what is the colour of the comforter,blue,image532
what is below the electric box,table,image40
what is the object found behind the cabinet,window,image984
what is on the righ side chair,"clothes, bag",image832
what is behind the bottle,spoon_stand,image563
how many chairs are there,5,image794
what is on the table,book,image1238
what are found to the left side of the bookshelf,"table, lamp, chair",image988
what is the object on the floor close to the room divider,can,image492
what are the objects on the chair,"clothes, jacket",image149
what is on the left side of the drawers,step_stool,image884
what is behind the shelf,whiteboard,image301
what is under the piano,stool,image1306
what color is the chair,red,image256
what is the type of the fan found,hand_fan,image832
what color are the cabinets,brown,image764
what is the object found at the right side of the sink,toothbrush,image684
how many tables are there,2,image85
how many speakers are there,5,image7
how many doors does the cupboard have,2,image1441
how many plum pillows are there on the brown carpet and next to the bed,1,image1063
what is stuck on the wall,photo,image1254
what color is the table fan on the floor on the right side of the wall,black,image832
what are the objects found near the sink,"tissue_box, bottle_of_hand_wash_liquid, cream",image670
what is hanged on the chair,jacket,image453
how many bottles are there,14,image4
what is to the left of the clock,decorative_item,image319
what is kept on the stove burner,cooking_pan,image895
what is the object close to the ceiling,light,image114
what objects are seen in the mirror,"sofa, photo, window, door",image1270
what is on the bed,clothes,image1153
what is right of television,shelves,image259
what is the green coloured object in front of the mirror,ornamental_plant,image717
how many chairs are totally there,2,image31
what object if found on the right side,cabinet,image1143
what is behind the glue,bottle_of_liquid,image22
what is the yellow machine on the counter,electric_mixer,image134
how many electrical outlets are behind the lamp shade,2,image488
what is on the table,machine,image109
how many lamps found,2,image996
what is on the left side of the sofa,guitar_case,image1203
what are the objects on the bed,"pillow, blanket",image541
how many towels are hanging on the towel rods,3,image675
how many drawers are there,5,image1091
what is behind the television,mirror,image964
how many drawer handles are there,6,image1145
what is above the table,chandelier,image756
what is the object close to the counter,sink,image649
what is the colour of walls,white,image243
what is the colour of doors,white,image212
what are the things on the cabinet,utensils,image1351
what color is the column in the middle of the store,brown,image223
what object is found on the cutting board,knife,image861
what is near the sink,glass,image721
what is the largest object,bed,image1058
name a few things that are in the rack,"bottle, container, bottle_of_liquid",image577
what is on the night stand,lamp,image909
how many chairs are there,4,image1383
what is kept below the table,box,image215
what is in front of the window,ornamental_plant,image817
what is the colour of the hat,green,image1124
what is the object close to the floor,floor_mat,image805
what is the object found on the left of the television on the tv stand,remote_control,image1134
what is near the tupperware,bottle_of_liquid,image416
what is on the left side of the curtain,blinds,image1294
what are the objects in the shelf,"cup, bottle",image102
what is the colour of the carpet,"brown, purple, white",image463
how many pillows found,3,image1057
what is the object close to the sink,faucet,image679
what is to the right of the mantel,table,image1448
what is on the left side of the cupboard,microwave,image821
what are the objects in the shelves,books,image104
what is the colour of the comforter,white,image953
what is at the top right corner,door_way,image1431
what is the object on the floor close to the wall,cabinet,image1037
what is the curtain colour,white,image655
what are the objects placed on the counter,"vessel, sink, bowl, sponge",image2
how many toothbrushes are there,2,image44
what is stuck in the red colour background,photo,image860
what is suspended from the ceiling,light,image388
what is on the sofa,pillow,image599
what is on the left side of the toilet,garbage_bin,image497
what is the object close to the wall,whiteboard,image42
how many chair are,3,image587
what is on the right side of the foosball table,desk,image438
what is below the shelf,hot_water_heater,image140
what is on the right side of the monitor,cup,image903
how many chairs are not placed along with table,6,image6
what is on the left side of the toilet,tissue_roll,image730
what is the colour of pillow,white,image217
what is on the wall,picture,image1372
what color is the door of the toy tent,brown,image1157
what is present near the bed to its left,night_stand,image1027
what is the color of the stand next to the fax machine,blue,image11
what is available in the racks,cup,image103
what is to the right of the coffee table,piano,image1254
how many red objects are on the cabinets,1,image450
what are the objects on the wooden board,"bottle, towel",image865
what is the object on the floor in front of the wall,bed,image1036
how many doors are open,1,image1145
what is stuck to the top of the sink and to the below of the mirror,"toothbrush_holder, toothpaste_holder",image664
what holds the globe,globe_stand,image323
what is on the left side of the picture,wall_decoration,image922
what are the objects on the table,"monitor, keyboard, mouse, computer, paper",image29
what is the fruit found on the table,pineapple,image844
what is on the bed,pillow,image947
what is beneath the bookshelf,microwave,image817
what is behind the stool,chair,image1224
what is below the toilet,toilet_brush,image500
what are the things found on the rack,toy,image1235
what are the objects on the bed,"pillow, blanket, bed_sheets",image1127
what is behind the papers book,monitor,image621
what is in front of the mirror,"bottle_of_soap, bottle_of_liquid",image575
what is on the floor,floor_mat,image331
how many lights are above the table,3,image875
what is on the right side of the table,lamp,image599
what is on the left side of the bed,lamp,image540
what is on the right side of the sink,"kitchen_utensils, basket",image573
how many chairs are around the table,chair,image166
what is inside the box,books,image932
what is behind the pen cup,paper_holder,image556
what is present on the wall in the left side,light_switch,image1009
how many chairs are there,1,image53
what is left of sink,jug,image567
what are the things on the table right to the sofa,"lamp, photo",image1235
how many sink are there close to the counter,2,image671
what is the colour of the monitors,black,image112
what is to the right of lamp,door,image580
what is behind the keyboard,mouse,image29
what objects are in the shelves,"books, photo, television",image1242
what is the colour of the oven,white,image793
what are at the right side,chair,image1386
what is on the right side of the faucet,bottle_of_hand_wash_liquid,image170
what is in front of the plant,sofa,image14
what is found in the left side,bed,image951
what is on the bed,doll,image1156
what is the light brown object in the right corner,dresser,image63
what is the big object in the left side of the toilet and in front of the wall,garbage_bin,image508
what are the objects on the coffee table,"book, decorative_bowl",image1288
how many chairs are there,4,image900
what is on the right side of the kitchen utensils,dishwasher,image802
what is on the left side of the wall,table,image1035
what is beneath the pictures,piano,image1254
what are around the dining table,chair,image1377
what is above the sofa,picture,image600
what is on the right side of the kid sofa,toy_chair,image402
what is in front of the door,bag,image949
what it the colour of cupboard border,black,image788
what is on the right side of the papers on the left most side on the table,stapler,image628
what is front of screen,chair,image41
what is used to cover the bath tub,shower_curtain,image170
how many pillows are there on the sofa,2,image375
what is on top of the bed,pillow,image1002
what is above the box,book,image106
what is present near the bottom left side,sofa,image1026
what is on the left side of the sink,cup,image893
what is found below the photo,cabinet,image1391
what is to the right of computer stand,speaker,image6
what is the largest dark brown object in this picture,dresser,image526
what is on the night stand,tissue_box,image56
what is on the table,"candle, bowl, paper, bag",image1349
how many bottles are on the top pf the bookcase,4,image187
what is on the right side of the monitor,papers,image621
what is on the wall on the left side of the bathtub,bottle_of_liquid,image504
what is at the opposite side of the dining table,decoration_item,image1449
what is at the left side,bed,image1200
what is on the left side of the telephone,"paper, pen_cup",image609
what is the largest object,shelves,image233
what are the things,shirts_in_hanger,image116
what is stuck on the left side wall,photo,image1364
how many boxes are attached with bills,3,image106
what color is the electrical kettle,black,image844
what is the colour of the sofa,brown,image383
what is on the left side of the cupboard,guitar,image918
what is above the lamp on the table,television,image935
what is on the right side of the stove,television,image877
what colour is the wall,white,image566
what is in front of bed,shelves,image535
what are the things on the bed,"pillow, paper, remote_control",image1168
what are the things on the table,"lamp, books",image1258
what is the largest object,blanket,image65
what is at the bottom of the television,table,image1218
what is in front of the chair,computer,image355
what is on the bed,toy_doll,image993
what is object is in yellow colour,bicycle_helmet,image956
what is behind the chairs,door,image1402
what is colour of wall,white,image716
what is on the left side of the mirror,towel_rod,image655
what is found near the right side wall,table,image1177
what is on the sofa,"carton, pillow",image1325
what are the objects on the shelf,books,image626
how many pillows are there,2,image1133
what is on the bed,"pillow, bag",image1104
what is stuck on the wall behind the piano,mirror,image1254
what is on the sofa,pillow,image1329
what is the colour of the bed cover,white,image927
what are the colours in the tent found,"blue, green",image1157
where are the students sitting,floor,image314
how many slippers are there,3,image72
what is the object close to the wall,picture,image589
what is on the ceiling,pipe,image107
what is the colour of the tables,black,image376
what is diagonally placed in front of the ladder,table,image18
what is to the left of the door way,lamp,image1443
what is in front of the cabinet,chair,image1194
what is to the right of the bed,bookshelf,image938
what is placed on the table,napkin,image230
what is kept on the table near the bottom left,bottle,image1021
what is kept near the wall and the bed in the corner of the room,lamp,image1006
what is on the wall on the left side of the door above the desk,framed_certificate,image9
how many beds are there,2,image1055
how many posters are there,2,image1124
what is behind chair,shelves,image273
what is on the floor on the left side of the desk,bicycle,image78
what is the colour of the floor mat,purple,image675
what is to the left of the table,window,image1381
what is present on top of the storage rack in the middle,lamp,image1042
what is behind the lady,table,image811
what is beneath the lamp,paper,image1111
what is the colour of the television,black,image429
what is on the stand,television,image602
how many pictures are there on the wall,3,image471
what is present on top of the bed,pillow,image1027
what is the object on the floor left of the bathtub,floor_mat,image686
what is on the left side of the mat,book,image551
what is on the sofa,books,image445
what color is the flower on the top pf the fan coil,purple,image50
what is on the night stand,"laptop, clothes",image79
what is seen in the mirror reflection,mirror,image721
what is found between the two photos,plant,image1333
how many chairs are there,1,image1053
what is the object that is placed right of the wall and left of the tall cabinet,garbage_bin,image12
what is on the shelf,radio,image290
how many drawers are visible,6,image1395
what is on the left side of the mirror,chair,image1086
what are the connecting objects between the spot light that are close to the wall,wire,image7
what is on the left side,banister,image1295
what are the objects on the bed,"pillow, blanket, soft_toy",image937
what are the objects on the rack,"cup, books",image101
how many sofas are there,2,image984
what is on the wall near the door,toy_shelf,image437
what is the colour of the sofa chair,black,image1255
what is on the left side of the lamp,clock,image958
how many cupboard drawers are there,3,image1095
what is placed above the bed,light_bulb,image233
what is the object on the floor left of the table,printer,image37
how many drawers are there,4,image445
what is behind the stool,excercise_equipment,image1214
what is present on the left corner of the room,storage_rack,image1046
what is to the left of the door,clothing_detergent,image492
what is on the left side of the key,glass,image786
what is to the left of the computer,printer,image455
what is in the corner of the wall close to the garbage bin,water_dispenser,image414
what is on the right side of the curtain,bathtub,image501
what is in front of the sofa,fan,image647
what is on the corner of the wall,map,image308
what is in front of the guitar,guitar_case,image918
what is the object on the counter,bread,image860
what color is the garbage bin on the floor on the left side of the desk,purple,image22
what is on the right side of the tap,ornamental_plant,image765
what is found on the sofa,lamp,image1246
what is opposite to the stairs,picture,image601
what is in front of the washing machine,cloth_drying_stand,image493
what is at the right most part,bathtub,image653
what is on the left side of the flower vase,mirror,image1405
what is found on the right side of the window,chair,image910
what is the colour of the handle of the refridgerator,black,image763
what is on the sofa,pillow,image462
what is to the right of the bed,table,image1098
how any drawers are there,3,image1189
what is on the right side of the bed,chair,image1102
what is the object on the floor in front of the cabinet,table,image592
what is to left of window,lamp,image583
what is behind the chair on the shelf,cordless_phone,image621
what color are the bed sheets,white,image1140
what color is the plastic toy container close to the door way,blue,image443
what is on the sofa,pillow,image1304
how many drawers are there,16,image423
what is the colour of cupboard handle,black,image790
what is behind the bed,window,image1050
what is the main object present in the room,shelves,image1005
which object is large,bookshelf,image472
what is on the sofa,book,image439
how many monitors are there on the shelf,3,image635
what is the object on the counter below the cabinet,coffee_machine,image751
what is behind the tissue box,cup,image638
what is on the left side of the bed,bag,image1157
what is on the sofa,pillow,image580
what is on the corner of the room,lamp,image1167
what is behind the chair,sofa,image546
what is the object in front of the photocopying machine attached close to the wall,shelves,image10
what is left of shelf,door,image578
what is the yellow colour object found in the kitchen container,cup,image866
what is behind the monitor,telephone,image613
how many pictures are there on the wall,3,image73
what is the colour of the carpet,gray,image15
what is in the bottom right corner,sofa,image1309
how many dark brown chairs are there,8,image1406
what is on the table,book,image609
what is in front of the table,carton,image627
what is below the bed,bed_sheets,image949
what is on the wall,light,image381
what is on the right side of the printer,tissue_box,image829
how many knobs are there,10,image1055
what is the largest object,refridgerator,image126
what is in front of the table,chair,image850
what is in front of the coffee table,sofa,image1208
what is on the right side of the tap,bottle,image858
what is the colour of the clothes,black,image23
what is on the stool,"sock, sock",image424
what is the kept on top of the cpu left of the monitor,keyboard,image32
what is the colour of the liquid in hand wash,green,image776
what is attached to the bunk bed,slide,image1039
what is present on the floor near the room divider on its right,garbage_bin,image1025
what is on the desk,"monitor, paper, telephone",image1301
what are the objects on the bed,"pillow, blanket",image1036
how many sofas are there,2,image51
by which the centre of the door is made,glass,image752
what is in front of the sofa,table,image1425
what is above the pool table,light,image426
what is at the right corner,fan,image929
what is the object on the floor right of the toilet,floor_mat,image506
what is the object on the counter in the corner,mirror,image674
what is on the table,"cup, bag",image415
what is on the bed,"comforter, pillow",image1088
what is stuck on the wall,photo,image1367
how many curtains are there,2,image1072
what is on the left side of the sink,bottle_of_hand_wash_liquid,image674
what is colour of wall,yellow,image255
what is beneath the stove,drawer,image796
what is the object close to the wall above the sink,mirror,image47
what is in front of of the door,backpack,image150
what is in the door,door_knob,image711
what object is present to the left of the chair,shelves,image1019
what is the largest object,bed,image1105
what is amidst the books,decorative_item,image1288
what is the object hanged on the right side,clothes,image699
what is on the right side of the wall,refridgerator,image411
what are the objects on the shelf,books,image1156
what is on the cloth on the table,cordless_phone,image1043
what is on the wall,picture,image967
what is on the right side of the door,drawer,image1004
what is kept on top of the wooden bed handle,bottle,image1033
what is in front of the chair,sofa,image1229
what is the colour of the table,brown,image17
what is on the wall,picture,image1386
how many rows of shelves are there beneath the gray table,books,image111
what is at the right side,cabinet,image1153
what is the colour of the bag beneath the bag,red,image957
what objects are in the rack,"medal, toy",image1293
what is used for writing coffee details,blackboard,image122
what is above the sink,shelves,image567
what is the object kept close to the wall,clock,image88
what is on the left side of the table,chair,image458
what is on the table,"carton, basket",image496
what is under the white cabinet on the right side of the oven and and on the left side of the fridge,sink,image2
what is on the right side of the lamp,tissue_box,image1096
what is the object near the pillow,lamp,image918
how many open doors are there,1,image212
what are the fruit varieties are there,"banana, apple, orange",image756
what are the objects on the counter,"monitor, paper, mouse, keyboard, box",image112
what is attached on the storage rack,drawer_knob,image1047
what is on the right side of the picture,blinds,image732
what is in between the night stand and baby gate,cloth_bag,image944
what is on the right side of the picture,pen_cup,image390
what is above toilet,tissue_roll,image704
what are the things on the cabinet,books,image1237
what is the colour of the stool,blue,image756
what is in front of the carpet,excercise_equipment,image494
what is behind the stapler,paper,image38
what are dominantly filled in the shelves,cup,image97
what is on the white cupbaord,doll,image1065
what is on the right side of the xbox,guitar,image431
how many drawers are there,9,image75
what is on the flush tank,tissue_box,image685
what object is hanged on the bed,paper,image954
what is found below the chandelier,table,image1448
what is on the right side of the paper,stapler,image553
what is in front of chair,computer,image272
how many table fans are in this picture,1,image13
what are found under the dinning table,stool,image756
what is in front of the bookshelf,table,image1084
what are the things placed to the left of the sink,toiletries,image655
